"id_arbre";"DBH_BMP";"id_branche";"diam_BMP.cm";"diam_BMP.m";"long_BMP.m";"sd_saprox_BMP";"H_BMP.m";"Rq";"massif";"plot";"num_arbre";"sp";"note_DEPERIS";"H_bas_houppier.m";"L_houppier.m";"DBH.cm";"H_arbre.m";"f_elancement";"note_DEPERIS_simpl";"vol.m2";"strate_BMP"
"T_19_3";68;1;10;0.1;8;3;26;"";"Troncais";19;3;"Quercus_petraea";"D";21;22;68;43;63.2352941176471;"deperissant";0.0628318530717959;"h1"
"T_19_3";68;2;5;0.05;2;4;26;"";"Troncais";19;3;"Quercus_petraea";"D";21;22;68;43;63.2352941176471;"deperissant";0.00392699081698724;"h1"
"T_19_3";68;3;5;0.05;1;2;32.5;"";"Troncais";19;3;"Quercus_petraea";"D";21;22;68;43;63.2352941176471;"deperissant";0.00196349540849362;"h2"
"T_19_3";68;4;5;0.05;1;3;34.5;"";"Troncais";19;3;"Quercus_petraea";"D";21;22;68;43;63.2352941176471;"deperissant";0.00196349540849362;"h2"
"T_19_3";68;5;5;0.05;1;3;41;"";"Troncais";19;3;"Quercus_petraea";"D";21;22;68;43;63.2352941176471;"deperissant";0.00196349540849362;"h3"
"T_19_3";68;6;5;0.05;1;3;40;"";"Troncais";19;3;"Quercus_petraea";"D";21;22;68;43;63.2352941176471;"deperissant";0.00196349540849362;"h3"
"T_19_3";68;7;10;0.1;2;2;30;"";"Troncais";19;3;"Quercus_petraea";"D";21;22;68;43;63.2352941176471;"deperissant";0.015707963267949;"h2"
"T_19_3";68;8;10;0.1;2;1;29;"";"Troncais";19;3;"Quercus_petraea";"D";21;22;68;43;63.2352941176471;"deperissant";0.015707963267949;"h2"
"T_19_3";68;9;5;0.05;2;3;23.5;"";"Troncais";19;3;"Quercus_petraea";"D";21;22;68;43;63.2352941176471;"deperissant";0.00392699081698724;"h1"
"T_19_4";83;1;15;0.15;8;4;21;"";"Troncais";19;4;"Quercus_petraea";"D";23;21;83;44;53.0120481927711;"deperissant";0.141371669411541;"2t"
"T_19_4";83;2;15;0.15;8;4;24;"";"Troncais";19;4;"Quercus_petraea";"D";23;21;83;44;53.0120481927711;"deperissant";0.141371669411541;"h1"
"T_19_4";83;3;10;0.1;9;3;23;"";"Troncais";19;4;"Quercus_petraea";"D";23;21;83;44;53.0120481927711;"deperissant";0.0706858347057703;"2t"
"T_19_4";83;4;5;0.05;1;3;24;"";"Troncais";19;4;"Quercus_petraea";"D";23;21;83;44;53.0120481927711;"deperissant";0.00196349540849362;"h1"
"T_19_4";83;5;5;0.05;2;3;26;"";"Troncais";19;4;"Quercus_petraea";"D";23;21;83;44;53.0120481927711;"deperissant";0.00392699081698724;"h1"
"T_19_4";83;6;5;0.05;7;3;27;"";"Troncais";19;4;"Quercus_petraea";"D";23;21;83;44;53.0120481927711;"deperissant";0.0137444678594553;"h1"
"T_19_4";83;7;5;0.05;1;3;29;"";"Troncais";19;4;"Quercus_petraea";"D";23;21;83;44;53.0120481927711;"deperissant";0.00196349540849362;"h1"
"T_19_4";83;8;10;0.1;5;3;31.5;"";"Troncais";19;4;"Quercus_petraea";"D";23;21;83;44;53.0120481927711;"deperissant";0.0392699081698724;"h2"
"T_19_4";83;9;10;0.1;2;2;38.5;"";"Troncais";19;4;"Quercus_petraea";"D";23;21;83;44;53.0120481927711;"deperissant";0.015707963267949;"h3"
"T_19_4";83;10;10;0.1;1;3;28;"";"Troncais";19;4;"Quercus_petraea";"D";23;21;83;44;53.0120481927711;"deperissant";0.00785398163397448;"h1"
"T_19_4";83;11;5;0.05;2;4;32;"";"Troncais";19;4;"Quercus_petraea";"D";23;21;83;44;53.0120481927711;"deperissant";0.00392699081698724;"h2"
"T_19_4";83;12;5;0.05;1;3;36;"";"Troncais";19;4;"Quercus_petraea";"D";23;21;83;44;53.0120481927711;"deperissant";0.00196349540849362;"h2"
"T_19_4";83;13;5;0.05;2;4;27;"";"Troncais";19;4;"Quercus_petraea";"D";23;21;83;44;53.0120481927711;"deperissant";0.00392699081698724;"h1"
"T_19_4";83;14;10;0.1;1;4;33;"";"Troncais";19;4;"Quercus_petraea";"D";23;21;83;44;53.0120481927711;"deperissant";0.00785398163397448;"h2"
"T_19_4";83;15;5;0.05;1;3;28.5;"";"Troncais";19;4;"Quercus_petraea";"D";23;21;83;44;53.0120481927711;"deperissant";0.00196349540849362;"h1"
"T_19_4";83;16;5;0.05;1;3;30;"";"Troncais";19;4;"Quercus_petraea";"D";23;21;83;44;53.0120481927711;"deperissant";0.00196349540849362;"h1"
"T_207_1";87;1;5;0.05;4;4;24;"";"Troncais";207;1;"Quercus_petraea";"B";15.6;26.4;87;42;48.2758620689655;"sain";0.00785398163397448;"h1"
"T_207_1";87;2;10;0.1;7;3;25.5;"";"Troncais";207;1;"Quercus_petraea";"B";15.6;26.4;87;42;48.2758620689655;"sain";0.0549778714378214;"h2"
"T_207_1";87;3;10;0.1;5;3;31;"";"Troncais";207;1;"Quercus_petraea";"B";15.6;26.4;87;42;48.2758620689655;"sain";0.0392699081698724;"h2"
"T_207_1";87;4;5;0.05;1;3;35.5;"";"Troncais";207;1;"Quercus_petraea";"B";15.6;26.4;87;42;48.2758620689655;"sain";0.00196349540849362;"h3"
"T_207_1";87;5;5;0.05;3;2;36;"";"Troncais";207;1;"Quercus_petraea";"B";15.6;26.4;87;42;48.2758620689655;"sain";0.00589048622548086;"h3"
"T_207_1";87;6;5;0.05;1;4;24;"";"Troncais";207;1;"Quercus_petraea";"B";15.6;26.4;87;42;48.2758620689655;"sain";0.00196349540849362;"h1"
"T_207_1";87;7;5;0.05;1;2;26;"";"Troncais";207;1;"Quercus_petraea";"B";15.6;26.4;87;42;48.2758620689655;"sain";0.00196349540849362;"h2"
"T_207_1";87;8;5;0.05;3;2;28;"";"Troncais";207;1;"Quercus_petraea";"B";15.6;26.4;87;42;48.2758620689655;"sain";0.00589048622548086;"h2"
"T_207_1";87;9;5;0.05;1;3;29;"";"Troncais";207;1;"Quercus_petraea";"B";15.6;26.4;87;42;48.2758620689655;"sain";0.00196349540849362;"h2"
"T_207_1";87;10;5;0.05;1;3;29;"";"Troncais";207;1;"Quercus_petraea";"B";15.6;26.4;87;42;48.2758620689655;"sain";0.00196349540849362;"h2"
"T_207_1";87;11;15;0.15;9;2;24;"";"Troncais";207;1;"Quercus_petraea";"B";15.6;26.4;87;42;48.2758620689655;"sain";0.159043128087983;"h1"
"T_207_1";87;12;10;0.1;3;2;33;"";"Troncais";207;1;"Quercus_petraea";"B";15.6;26.4;87;42;48.2758620689655;"sain";0.0235619449019235;"h2"
"T_207_1";87;13;5;0.05;1;4;21;"";"Troncais";207;1;"Quercus_petraea";"B";15.6;26.4;87;42;48.2758620689655;"sain";0.00196349540849362;"h1"
"T_207_1";87;14;10;0.1;3;3;25.5;"";"Troncais";207;1;"Quercus_petraea";"B";15.6;26.4;87;42;48.2758620689655;"sain";0.0235619449019235;"h2"
"T_207_1";87;15;10;0.1;3;3;30.5;"";"Troncais";207;1;"Quercus_petraea";"B";15.6;26.4;87;42;48.2758620689655;"sain";0.0235619449019235;"h2"
"T_207_1";87;16;10;0.1;2;3;24.5;"";"Troncais";207;1;"Quercus_petraea";"B";15.6;26.4;87;42;48.2758620689655;"sain";0.015707963267949;"h2"
"T_207_1";87;17;5;0.05;1;3;23;"";"Troncais";207;1;"Quercus_petraea";"B";15.6;26.4;87;42;48.2758620689655;"sain";0.00196349540849362;"h1"
"T_207_1";87;18;10;0.1;2;4;30.5;"";"Troncais";207;1;"Quercus_petraea";"B";15.6;26.4;87;42;48.2758620689655;"sain";0.015707963267949;"h2"
"T_207_2";69;1;10;0.1;3;4;17.5;"";"Troncais";207;2;"Quercus_petraea";"D";13;27;69;40;57.9710144927536;"deperissant";0.0235619449019235;"h1"
"T_207_2";69;2;10;0.1;4;4;20;"";"Troncais";207;2;"Quercus_petraea";"D";13;27;69;40;57.9710144927536;"deperissant";0.0314159265358979;"h1"
"T_207_2";69;3;10;0.1;4;3;25;"";"Troncais";207;2;"Quercus_petraea";"D";13;27;69;40;57.9710144927536;"deperissant";0.0314159265358979;"h2"
"T_207_2";69;4;5;0.05;1;2;30;"";"Troncais";207;2;"Quercus_petraea";"D";13;27;69;40;57.9710144927536;"deperissant";0.00196349540849362;"h2"
"T_207_3";53;1;5;0.05;1;3;16;"";"Troncais";207;3;"Quercus_robur";"F";12.5;21.5;53;34;64.1509433962264;"deperissant";0.00196349540849362;"h1"
"T_207_3";53;2;5;0.05;4;4;19;"";"Troncais";207;3;"Quercus_robur";"F";12.5;21.5;53;34;64.1509433962264;"deperissant";0.00785398163397448;"h1"
"T_207_3";53;3;10;0.1;3;2;25;"";"Troncais";207;3;"Quercus_robur";"F";12.5;21.5;53;34;64.1509433962264;"deperissant";0.0235619449019235;"h2"
"T_207_3";53;4;5;0.05;1;3;21.5;"";"Troncais";207;3;"Quercus_robur";"F";12.5;21.5;53;34;64.1509433962264;"deperissant";0.00196349540849362;"h2"
"T_207_3";53;5;10;0.1;2;3;22;"";"Troncais";207;3;"Quercus_robur";"F";12.5;21.5;53;34;64.1509433962264;"deperissant";0.015707963267949;"h2"
"T_207_3";53;6;10;0.1;5;2;22.5;"";"Troncais";207;3;"Quercus_robur";"F";12.5;21.5;53;34;64.1509433962264;"deperissant";0.0392699081698724;"h2"
"T_207_3";53;7;15;0.15;1;2;27;"";"Troncais";207;3;"Quercus_robur";"F";12.5;21.5;53;34;64.1509433962264;"deperissant";0.0176714586764426;"h3"
"T_207_3";53;8;5;0.05;1;4;32;"";"Troncais";207;3;"Quercus_robur";"F";12.5;21.5;53;34;64.1509433962264;"deperissant";0.00196349540849362;"h3"
"T_207_4";61;1;10;0.1;3;3;21;"";"Troncais";207;4;"Quercus_petraea";"D";15.5;20.5;61;36;59.0163934426229;"deperissant";0.0235619449019235;"h1"
"T_207_4";61;2;5;0.05;1;3;27;"";"Troncais";207;4;"Quercus_petraea";"D";15.5;20.5;61;36;59.0163934426229;"deperissant";0.00196349540849362;"h2"
"T_207_4";61;3;5;0.05;1;4;25;"";"Troncais";207;4;"Quercus_petraea";"D";15.5;20.5;61;36;59.0163934426229;"deperissant";0.00196349540849362;"h2"
"T_207_4";61;4;5;0.05;1;3;27;"";"Troncais";207;4;"Quercus_petraea";"D";15.5;20.5;61;36;59.0163934426229;"deperissant";0.00196349540849362;"h2"
"T_207_4";61;5;5;0.05;2;4;18.5;"";"Troncais";207;4;"Quercus_petraea";"D";15.5;20.5;61;36;59.0163934426229;"deperissant";0.00392699081698724;"h1"
"T_207_4";61;6;5;0.05;2;2;24.5;"";"Troncais";207;4;"Quercus_petraea";"D";15.5;20.5;61;36;59.0163934426229;"deperissant";0.00392699081698724;"h2"
"T_315_1";77;1;10;0.1;5;3;32;"";"Troncais";315;1;"Quercus_petraea";"D";18.9;26.1;77;45;58.4415584415584;"deperissant";0.0392699081698724;"h2"
"T_315_1";77;2;5;0.05;1;1;37;"";"Troncais";315;1;"Quercus_petraea";"D";18.9;26.1;77;45;58.4415584415584;"deperissant";0.00196349540849362;"h3"
"T_315_1";77;3;10;0.1;8;4;28.5;"";"Troncais";315;1;"Quercus_petraea";"D";18.9;26.1;77;45;58.4415584415584;"deperissant";0.0628318530717959;"h2"
"T_315_1";77;4;5;0.05;1;2;38.5;"";"Troncais";315;1;"Quercus_petraea";"D";18.9;26.1;77;45;58.4415584415584;"deperissant";0.00196349540849362;"h3"
"T_315_1";77;5;5;0.05;1;3;38.5;"";"Troncais";315;1;"Quercus_petraea";"D";18.9;26.1;77;45;58.4415584415584;"deperissant";0.00196349540849362;"h3"
"T_315_1";77;6;10;0.1;1;2;35;"";"Troncais";315;1;"Quercus_petraea";"D";18.9;26.1;77;45;58.4415584415584;"deperissant";0.00785398163397448;"h2"
"T_315_1";77;7;15;0.15;1;3;29;"";"Troncais";315;1;"Quercus_petraea";"D";18.9;26.1;77;45;58.4415584415584;"deperissant";0.0176714586764426;"h2"
"T_315_1";77;8;10;0.1;4;4;29;"";"Troncais";315;1;"Quercus_petraea";"D";18.9;26.1;77;45;58.4415584415584;"deperissant";0.0314159265358979;"h2"
"T_315_1";77;9;10;0.1;1;3;33.5;"";"Troncais";315;1;"Quercus_petraea";"D";18.9;26.1;77;45;58.4415584415584;"deperissant";0.00785398163397448;"h2"
"T_315_1";77;10;10;0.1;2;4;36;"";"Troncais";315;1;"Quercus_petraea";"D";18.9;26.1;77;45;58.4415584415584;"deperissant";0.015707963267949;"h2"
"T_315_1";77;11;5;0.05;1;3;41.5;"";"Troncais";315;1;"Quercus_petraea";"D";18.9;26.1;77;45;58.4415584415584;"deperissant";0.00196349540849362;"h3"
"T_315_2";76;1;5;0.05;5;4;24.5;"";"Troncais";315;2;"Quercus_petraea";NA;17;29;76;46;60.5263157894737;NA;0.0098174770424681;"h1"
"T_315_2";76;2;10;0.1;4;3;29;"";"Troncais";315;2;"Quercus_petraea";NA;17;29;76;46;60.5263157894737;NA;0.0314159265358979;"h2"
"T_315_2";76;3;10;0.1;6;3;32;"";"Troncais";315;2;"Quercus_petraea";NA;17;29;76;46;60.5263157894737;NA;0.0471238898038469;"h2"
"T_315_2";76;4;5;0.05;2;2;37;"";"Troncais";315;2;"Quercus_petraea";NA;17;29;76;46;60.5263157894737;NA;0.00392699081698724;"h3"
