id_arbre;DBH_BMP;id_branche;diam_BMP.cm;diam_BMP.m;long_BMP.m;sd_saprox_BMP;H_BMP.m;Rq
T_43_2;77;4;5;0.05;1;3;21;
T_43_2;77;5;5;0.05;1;3;32.5;
T_43_2;77;6;5;0.05;2;3;29;
T_43_3;84;1;5;0.05;2;4;20.5;
T_43_3;84;2;5;0.05;1;4;17;
T_43_3;84;3;20;0.2;5;4;21.5;
T_43_3;84;4;5;0.05;3;2;25;
T_43_3;84;5;5;0.05;1;2;28;
T_43_3;84;6;15;0.15;1;4;24.5;
T_43_3;84;7;10;0.1;1;4;26.5;
T_43_3;84;8;10;0.1;1;3;28;
T_43_3;84;9;10;0.1;1;2;28;
T_43_3;84;10;10;0.1;1;2;30;
T_43_4;92;1;5;0.05;1;4;18;
T_43_4;92;2;10;0.1;1;4;18;
T_43_4;92;3;10;0.1;7;3;18;
T_43_4;92;4;5;0.05;2;4;20.5;
T_43_4;92;5;15;0.15;9;3;24;
T_43_4;92;6;5;0.05;2;4;26;
T_43_4;92;7;5;0.05;2;4;27.5;
T_43_4;92;8;10;0.1;6;2;28;
T_43_4;92;9;5;0.05;2;2;27;
V_169_1;55;1;5;0.05;2;4;7.5;
V_169_2;47;1;NA;NA;NA;NA;NA;
V_169_3;55;1;5;NA;1;4;18;
V_169_3;55;2;10;NA;4;2;22;
V_169_3;55;3;5;NA;1;NA;17;
V_169_4;52;1;NA;NA;NA;NA;NA;
V_179_1;63;1;5;0.05;2;3;16;
V_179_1;63;2;5;0.05;3;3;17;
V_179_1;63;3;10;0.1;4;4;21;
V_179_1;63;4;10;0.1;4;4;22;
V_179_1;63;5;5;0.05;1;4;25.5;
V_179_1;63;6;5;0.05;1;4;25.5;
V_179_1;63;7;5;0.05;2;3;9;
V_179_1;63;8;5;0.05;2;4;11;
V_179_1;63;9;5;0.05;6;3;11;
V_179_1;63;10;5;0.05;2;3;24;
V_179_1;63;11;5;0.05;2;2;24;
V_179_1;63;12;5;0.05;1;3;15;
V_179_1;63;13;10;0.1;1;3;10;
V_179_1;63;14;5;0.05;5;4;10.5;
V_179_1;63;15;10;0.1;2;3;13;
V_179_3;83;1;5;0.05;3;4;9;
V_179_3;83;2;10;0.1;1;3;11.5;
V_179_3;83;3;5;0.05;2;3;16;
V_179_3;83;4;5;0.05;2;3;17;
V_179_3;83;5;5;0.05;4;2;17;
V_179_3;83;6;5;0.05;2;4;18;
V_179_3;83;7;5;0.05;3;2;20;
V_179_3;83;8;5;0.05;1;3;12;
V_179_3;83;9;10;0.1;1;3;12;
V_179_3;83;10;10;0.1;1;3;12;
V_179_3;83;11;20;0.2;8;3;14;
V_179_3;83;12;10;0.1;2;3;15;
V_179_3;83;13;15;0.15;6;2;19.5;
V_179_3;83;14;10;0.1;6;2;18;
V_179_3;83;15;10;0.1;4;2;18;
V_179_3;83;16;15;0.15;6;3;22;
V_22_1;81;1;5;0.05;1;3;9.5;
V_22_1;81;2;5;0.05;1;3;9.5;
V_22_1;81;3;10;0.1;2;4;12;
V_22_1;81;4;10;0.1;2;4;14;
V_22_1;81;5;10;0.1;1;3;25;
V_22_3;71;1;5;0.05;2;3;6.5;
V_22_3;71;2;5;0.05;1;3;6.5;
V_22_3;71;3;5;0.05;1;3;6.5;
V_22_3;71;4;10;0.1;4;3;9;
V_22_3;71;5;10;0.1;6;3;9;
V_22_3;71;6;5;0.05;1;3;9;
V_22_3;71;7;15;0.15;15;3;11;
V_22_3;71;8;10;0.1;8;3;9;
V_22_3;71;9;10;0.1;6;2;16;
V_22_3;71;10;5;0.05;2;2;17;
V_22_3;71;11;10;0.1;5;2;19;
V_22_3;71;12;5;0.05;2;2;20;
V_22_3;71;13;5;0.05;2;3;20;
V_22_3;71;14;10;0.1;3;3;14;
V_22_3;71;15;15;0.15;8;2;14;
V_22_3;71;16;15;0.15;6;2;19.5;
V_22_3;71;17;10;0.1;5;2;20;
