Y;Effect;etat_sanitaire;Groupe.var;pval (originale);pval;Comparaison;Estimate;p-value;Significance
ab.colsxrar;Stratum effect;deperissant;General;< 0,001;< 0,001;UC_BC;1.7207     ;< 0.001 ***;***
ab.colsxrar;Stratum effect;deperissant;General;< 0,001;< 0,001;LC_BC;1.2302     ;< 0.001 ***;***
sr.colsxrar;Stratum effect;deperissant;General;N.S;N.S;AC_UC;;;N.S
sr.colsxrar;Stratum effect;deperissant;General;N.S;N.S;AC_LC;;;N.S
sr.colsxrar;Stratum effect;deperissant;General;N.S;N.S;AC_BC;;;N.S
sr.colsxrar;Stratum effect;deperissant;General;N.S;N.S;UC_LC;;;N.S
sr.colsxrar;Stratum effect;deperissant;General;N.S;N.S;UC_BC;;;N.S
sr.colsxrar;Stratum effect;deperissant;General;N.S;N.S;LC_BC;;;N.S
ab.colsxcom;Stratum effect;deperissant;General;N.S;N.S;AC_UC;;;N.S
ab.colsxcom;Stratum effect;deperissant;General;N.S;N.S;AC_LC;;;N.S
ab.colsxcom;Stratum effect;deperissant;General;N.S;N.S;AC_BC;;;N.S
ab.colsxcom;Stratum effect;deperissant;General;N.S;N.S;UC_LC;;;N.S
ab.colsxcom;Stratum effect;deperissant;General;N.S;N.S;UC_BC;;;N.S
ab.colsxcom;Stratum effect;deperissant;General;N.S;N.S;LC_BC;;;N.S
sr.colsxcom;Stratum effect;deperissant;General;;;AC_UC;;;
sr.colsxcom;Stratum effect;deperissant;General;;;AC_LC;;;
sr.colsxcom;Stratum effect;deperissant;General;;;AC_BC;;;
sr.colsxcom;Stratum effect;deperissant;General;;;UC_LC;;;
sr.colsxcom;Stratum effect;deperissant;General;;;UC_BC;;;
sr.colsxcom;Stratum effect;deperissant;General;;;LC_BC;;;
ab.fon;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;AC_UC;;;
ab.fon;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;AC_LC;;;
ab.fon;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;AC_BC;;;
ab.fon;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;UC_LC;;;
ab.fon;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;UC_BC;;;
ab.fon;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;LC_BC;;;
sr.fon;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;AC_UC;;;
sr.fon;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;AC_LC;;;
sr.fon;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;AC_BC;;;
sr.fon;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;UC_LC;;;
sr.fon;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;UC_BC;;;
sr.fon;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;LC_BC;;;
ab.lig;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;AC_UC;;;
ab.lig;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;AC_LC;;;
ab.lig;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;AC_BC;;;
ab.lig;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;UC_LC;;;
