"x"
"1189";1456
"1190";1984
"1191";2095
"1192";2616
"1193";2607
"1194";2830.5
"1195";3105
"1196";458
"1197";292
"1198";2565
"1199";1566
"1200";771
"1201";1585.5
"1202";2852.5
"1203";2852.5
"1204";139
"1205";366
"1206";1417
"1207";2380
"1208";990
"1209";1197
"1210";300
"1211";45
"1212";283.5
"1213";1581
"1214";459
"1215";86
"1216";1062
"1217";1299
"1218";230
"1219";72
"1220";752
"1221";1808
"1222";430.5
"1223";34
"1224";1997
"1225";2287
"1226";1040
"1227";147
"1228";851
"1229";1644.5
"1230";831
"1231";1271
"1232";640
"1233";1897
"1234";621.5
"1235";1287
"1236";2842
"1237";2851
"1238";685
"1239";499
"1240";2374
"1241";2515
"1242";603.5
"1243";659
"1244";1614.5
"1245";2417.5
"1246";2038.5
"1247";381
"1248";1647.5
"1249";2779.5
"1250";736
"1251";1033
"1252";967
"1253";1069
"1254";2371
"1255";2125
"1256";2402
"1257";3004
"1258";462
"1259";365
"1260";1653
"1261";1217
"1262";468
"1263";583.5
"1264";2223
"1265";2470
"1266";302
"1267";283.5
"1268";260
"1269";1647.5
"1270";101.5
"1271";1674
"1272";889
"1273";98
"1274";133
"1275";1297.5
"1276";886
"1277";30
"1278";59
"1279";1667
"1280";256
"1281";227
"1282";171
"1283";1962
"1284";620
"1285";583.5
"1286";246.5
"1287";2725
"1288";1787
"1289";479
"1290";547.5
"1291";2172
"1292";2791
"1293";536.5
"1294";1098
"1295";2000
"1296";1675
"1297";1876
"1298";2205
"1299";2477
"1300";2574
"1301";1523.5
"1302";2590
"1303";1157
"1304";2007
"1305";1091
"1306";839
"1307";2230.5
"1308";1937
"1309";624
"1310";1182
"1311";2441
"1312";3059
"1313";762.5
"1314";337
"1315";3063
"1316";2564
"1317";1716
"1318";1952
"1319";1154.5
"1320";2689
"1321";1042
"1322";353
"1323";2782
"1324";1283
"1325";301
"1326";595.5
"1327";2065
"1328";1963
"1329";252
"1330";981
"1331";1289
"1332";1390.5
"1333";254
"1334";111
"1335";1043
"1336";1519
"1337";367
"1338";166
"1339";1313
"1340";401
"1341";417
"1342";396.5
"1343";2239
"1344";1281
"1345";580
"1346";289
"1347";2687
"1348";1594.5
"1349";930
"1350";595.5
"1351";2236
"1352";2956
"1353";1110
"1354";977
"1355";2021
"1356";2593
"1357";2733
"1358";2501
"1359";2498
"1360";2955
"1361";2990.5
"1362";2828
"1363";883.5
"1364";1938
"1365";1338
"1366";1109
"1367";2264
"1368";2570
"1369";1714.5
"1370";1965.5
"1371";2621
"1372";3080
"1373";1406
"1374";1140
"1375";3083
"1376";2854
"1377";2400
"1378";2605
"1379";1160
"1380";2673
"1381";1879
"1382";968.5
"1383";2821
"1384";1746
"1385";1812
"1386";1571
"1387";2155
"1388";1923
"1389";670.5
"1390";916
"1391";424
"1392";429
"1393";1706
"1394";50
"1395";612
"1396";1829
"1397";1382.5
"1398";25
"1399";391
"1400";1224
"1401";2013
"1402";81
"1403";1468
"1404";2795
"1405";2559
"1406";502
"1407";999.5
"1408";1659
"1409";2218
"1410";146
"1411";901
"1412";1501
"1413";2245
"1414";897
"1415";2127
"1416";3057
"1417";2963
"1418";151
"1419";773
"1420";3128
"1421";3154
"1422";228
"1423";576
"1424";1570
"1425";2390.5
"1426";2088
"1427";1610
"1428";2727
"1429";3042
"1430";1026
"1431";1707
"1432";1665
"1433";1944
"1434";2365
"1435";2583.5
"1436";2667
"1437";3088
"1438";523.5
"1439";613.5
"1440";2610
"1441";1368.5
"1442";700.5
"1443";1655
"1444";2855
"1445";2752
"1446";469
"1447";948
"1448";1592
"1449";1951
"1450";107
"1451";1352
"1452";635
"1453";186
"1454";910
"1455";358
"1456";220
"1457";76
"1458";600
"1459";1255
"1460";531
"1461";63
"1462";1710
"1463";1344
"1464";1467
"1465";454
"1466";414
"1467";1128
"1468";1228
"1469";928
"1470";825
"1471";1670
"1472";408
"1473";1099
"1474";2612
"1475";2227
"1476";791
"1477";1145.5
"1478";2270
"1479";2714
"1480";558
"1481";207
"1482";1049
"1483";2244
"1484";1604.5
"1485";680
"1486";1302
"1487";2193
"1488";847
"1489";832
"1490";904
"1491";423
"1492";2429
"1493";1492
"1494";2062.5
"1495";2494
"1496";775.5
"1497";419
"1498";1582.5
"1499";342
"1500";473
"1501";797
"1502";1874.5
"1503";1534
"1504";1309
"1505";379
"1506";687
"1507";1218
"1508";183
"1509";826
"1510";565
"1511";82
"1512";106
"1513";518
"1514";52
"1515";78
"1516";141
"1517";1333.5
"1518";678
"1519";1312
"1520";451
"1521";1475
"1522";552.5
"1523";155
"1524";495.5
"1525";1769
"1526";2159
"1527";285
"1528";1147
"1529";1270
"1530";974
"1531";2029
"1532";1865
"1533";1785
"1534";2056
"1535";2145
"1536";2921
"1537";521
"1538";730
"1539";334
"1540";970
"1541";2126
"1542";1672
"1543";480
"1544";1523.5
"1545";1682
"1546";2189
"1547";239
"1548";273
"1549";2769
"1550";1799
"1551";1485.5
"1552";1627
"1553";704
"1554";1607
"1555";1552.5
"1556";105
"1557";1526
"1558";885
"1559";809
"1560";450
"1561";1440
"1562";1533
"1563";402.5
"1564";1016
"1565";1259
"1566";976
"1567";213
"1568";39
"1569";1987
"1570";861
"1571";540
"1572";170
"1573";1947
"1574";893
"1575";868
"1576";159
"1577";2424
"1578";1759.5
"1579";653
"1580";326
"1581";2268
"1582";2881
"1583";1161
"1584";702
"1585";1726
"1586";2119
"1587";2293
"1588";2111
"1589";2397
"1590";2894
"1591";1984
"1592";2999
"1593";931
"1594";1958.5
"1595";1620
"1596";601
"1597";1868
"1598";2363
"1599";610.5
"1600";789
"1601";2446
"1602";3131.5
"1603";744
"1604";895
"1605";3086
"1606";2660
"1607";2128.5
"1608";2175
"1609";908
"1610";2805
"1611";1352
"1612";360
"1613";2767
"1614";1705
"1615";891
"1616";1039
"1617";2457
"1618";2201
"1619";710
"1620";782
"1621";286
"1622";1250
"1623";1162
"1624";42
"1625";543
"1626";1072
"1627";1730
"1628";10
"1629";1045.5
"1630";2658
"1631";1848
"1632";99
"1633";844
"1634";1539
"1635";1777
"1636";112
"1637";1917
"1638";998
"1639";1822
"1640";130
"1641";1969
"1642";3015
"1643";2872
"1644";270
"1645";1375
"1646";2951
"1647";3071
"1648";43
"1649";679
"1650";2005
"1651";2038.5
"1652";935
"1653";1086
"1654";2358
"1655";3045
"1656";386
"1657";2092
"1658";2173.5
"1659";1911
"1660";2525
"1661";2555
"1662";2634
"1663";3006
"1664";46
"1665";575
"1666";1850.5
"1667";1352
"1668";790
"1669";1449
"1670";2640
"1671";2826
"1672";204
"1673";736
"1674";1341
"1675";1968
"1676";806
"1677";995
"1678";180
"1679";75
"1680";750
"1681";1754
"1682";275
"1683";44
"1684";1422
"1685";1560
