id.trap	massif	num.releve	num.tree2	num.trap	Parcelle	strate	id.trap.releve	ab.colsx	sr.colsx	ab.colsxrar	sr.colsxrar	ab.colsxcom	sr.colsxcom	ab.cav	sr.cav	ab.fon	sr.fon	ab.fonspe	sr.fonspe	ab.suc	sr.suc	ab.lig	sr.lig	ab.flo	sr.flo	ab.pho	sr.pho	ab.myc	sr.myc	ab.xyl	sr.xyl	ab.sxy	sr.sxy	ab.zoo	sr.zoo	ab.cavspe	sr.cavspe	CWM_diam	CWM_canop	CWM_decay	CWM_size	FD_diam	FD_canop	FD_decay	FD_size	id.trap.releve
Troncais51	Troncais	R2	5	1	315	supra	Troncais51R2	88	38	11	4	74	31	11	7	31	12	6	1	0	0	80	36	34	16	2	1	14	5	33	12	23	12	16	8	0	0	1.834772727	1.428409091	2.592613636	7.496590909	0.908610274	0.342269657	0.734113517	0.692456895	Troncais51R2
Troncais51	Troncais	R3	5	1	315	supra	Troncais51R3	86	22	4	2	74	17	3	3	64	9	7	2	0	0	77	18	5	5	3	3	61	6	16	7	3	3	4	4	2	2	2.25872093	1.523837209	2.679069767	3.259302326	0.51982752	0.280724343	0.600957093	0.272192482	Troncais51R3
Troncais51	Troncais	R4	5	1	315	supra	Troncais51R4	50	20	6	2	35	14	2	2	14	7	2	1	1	1	46	17	16	4	2	2	12	5	18	8	1	1	16	3	1	1	2.2632	1.513	2.668	6.984	0.664028772	0.545305718	0.807576171	0.700844595	Troncais51R4
Troncais52	Troncais	R1	5	2	315	intra.sup	Troncais52R1	55	21	16	1	32	17	12	7	16	10	2	2	1	1	46	16	36	8	7	3	7	5	4	2	9	5	29	6	2	1	2.311454545	1.486363636	3.166181818	3.969090909	0.489919271	0.322418517	0.596536219	0.247094038	Troncais52R1
Troncais52	Troncais	R2	5	2	315	intra.sup	Troncais52R2	48	23	4	2	37	18	12	4	21	9	1	1	1	1	41	20	21	10	6	2	10	4	7	4	14	7	10	5	2	1	2.1625	1.590625	2.831041667	6.2875	0.645920262	0.509552702	0.796676045	0.57257602	Troncais52R2
Troncais52	Troncais	R3	5	2	315	intra.sup	Troncais52R3	76	25	9	5	49	16	1	1	41	9	3	1	1	1	71	23	4	3	2	1	32	5	23	8	12	6	8	5	2	1	2.187105263	1.486184211	2.438684211	3.951315789	0.651822782	0.408440355	0.571390845	0.41896879	Troncais52R3
Troncais52	Troncais	R4	5	2	315	intra.sup	Troncais52R4	50	19	11	4	17	12	1	1	6	6	1	1	1	1	49	18	3	2	0	0	4	4	33	6	7	4	5	4	0	0	1.9782	1.459	2.2444	5.24	0.793574804	0.356728487	0.481264136	0.643015611	Troncais52R4
Troncais53	Troncais	R1	5	3	315	intra.inf	Troncais53R1	35	16	5	2	14	10	6	5	20	6	0	0	0	0	33	14	13	8	2	2	17	3	2	2	6	5	9	5	1	1	2.192857143	1.675714286	3.006285714	2.871428571	0.400600359	0.565225931	0.478127606	0.214058339	Troncais53R1
Troncais53	Troncais	R2	5	3	315	intra.inf	Troncais53R2	45	23	7	3	19	18	9	9	29	11	3	3	2	2	35	17	7	7	8	4	23	6	6	5	5	5	7	3	6	2	2.356	1.747777778	2.697111111	3.235555556	0.736794257	0.544740421	0.694980714	0.32647547	Troncais53R2
Troncais53	Troncais	R3	5	3	315	intra.inf	Troncais53R3	34	20	5	1	19	17	3	2	17	9	4	4	0	0	24	14	2	2	6	2	15	7	6	6	2	2	10	4	6	2	2.408529412	1.732941176	2.538823529	4.2	0.886467242	0.630408524	0.570222748	0.517178286	Troncais53R3
