LOCA	parcelle	num.tree2	num.trap	id.trap	strate	prop.trap.season	ab.colsx	sr.colsx	ab.colsxrar	sr.colsxrar	ab.colsxcom	sr.colsxcom	ab.cav	sr.cav	ab.fon	sr.fon	ab.fonspe	sr.fonspe	ab.suc	sr.suc	ab.lig	sr.lig	ab.flo	sr.flo	ab.pho	sr.pho	ab.myc	sr.myc	ab.xyl	sr.xyl	ab.sxy	sr.sxy	ab.zoo	sr.zoo	ab.cavspe	sr.cavspe	CWM_diam	CWM_canop	CWM_decay	CWM_size	FD_diam	FD_canop	FD_decay	FD_size	ab.colsxrsx	sr.colsxrsx
Troncais	315	5	1	Troncais51	supra 	0.883802034	257	62	29	8	207	48	26	10	115	21	15	3	1	1	235	56	82	22	8	4	88	10	72	21	37	15	52	12	3	2	2.076108949	1.471789883	2.718287938	5.556031128	0.736079423	0.35870264	0.735271017	0.614263036	1	1
Troncais	315	5	2	Troncais52	intra.sup	0.884609958	229	62	40	9	135	48	26	11	84	23	7	5	4	2	207	53	64	17	15	4	53	11	67	14	42	17	52	16	6	2	2.166200873	1.502183406	2.653231441	4.726637555	0.627708956	0.359635765	0.751309306	0.48901505	0	0
Troncais	315	5	3	Troncais53	intra.inf	0.905715539	148	51	18	4	74	43	19	13	78	22	9	7	2	2	124	41	25	14	16	4	63	12	28	14	22	12	29	9	13	2	2.333918919	1.679662162	2.672027027	3.667567568	0.669579307	0.629094713	0.645077039	0.384321648	0	0
Troncais	315	5	4	Troncais54	infra 	0.933181196	144	46	12	4	89	38	23	9	77	16	2	2	0	0	132	41	23	8	10	3	59	10	30	11	25	15	24	8	5	2	2.197708333	1.675763889	2.631597222	3.75625	0.666169087	0.633061956	0.57426983	0.360439886	1	1
Troncais	327	6	1	Troncais61	supra 	1	315	66	25	7	256	54	69	15	171	23	13	3	0	0	290	61	91	17	22	4	138	10	51	20	57	20	46	12	1	1	2.236825397	1.547619048	2.867492063	3.772698413	0.456101776	0.459515431	0.69372755	0.328341733	4	3
Troncais	327	6	2	Troncais62	intra.sup	1	312	68	40	6	197	57	66	16	125	19	10	2	4	3	283	61	81	18	21	7	86	9	98	18	57	21	48	12	4	4	2.118429487	1.567852564	2.643461538	4.761858974	0.619954304	0.551107197	0.800498458	0.515544023	0	0
Troncais	327	6	3	Troncais63	intra.inf	1	232	73	28	7	142	62	48	20	109	24	6	4	2	2	212	64	72	18	15	6	82	13	37	15	46	23	51	15	5	4	2.222284483	1.63612069	2.877025862	4.07112069	0.537898379	0.644299057	0.71155077	0.398630233	0	0
Troncais	327	6	4	Troncais64	infra 	0.786398905	132	52	8	5	82	43	30	17	85	27	4	4	1	1	126	46	19	11	2	2	64	15	16	6	35	17	15	12	1	1	2.219772727	1.698712121	2.79469697	3.524242424	0.571453415	0.616254837	0.685660173	0.350081615	0	0
Troncais	337	7	1	Troncais71	supra 	1	225	51	9	3	170	43	34	10	115	17	20	4	1	1	198	44	50	11	8	4	106	12	59	20	23	5	26	9	4	2	2.200044444	1.551422222	2.640355556	3.559555556	0.461869829	0.526906208	0.772497037	0.325686185	7	4
Troncais	337	7	2	Troncais72	intra.sup	1	249	73	40	12	165	56	44	18	115	22	10	4	2	2	234	66	46	22	7	4	87	11	52	12	66	28	39	18	4	2	2.102891566	1.507429719	2.684297189	5.227309237	0.669723549	0.599521214	0.7285334	0.621301402	0	0
Troncais	337	7	3	Troncais73	intra.inf	1	178	57	32	11	79	41	32	13	99	23	5	5	5	1	165	50	36	13	13	3	78	14	26	10	37	19	29	12	5	1	2.3	1.628876404	2.891460674	3.961235955	0.602019999	0.663947916	0.648185967	0.433827782	0	0
Troncais	337	7	4	Troncais74	infra 	1	161	62	9	6	108	51	36	12	85	21	6	4	1	1	150	55	29	14	4	2	71	13	24	15	40	19	21	12	2	2	2.230372671	1.697826087	2.706459627	4.32484472	0.566126448	0.772640647	0.65089378	0.457710558	0	0
Troncais	350	8	1	Troncais81	supra 	1	305	64	27	6	253	55	77	14	126	19	19	3	0	0	281	60	108	18	7	3	102	10	76	23	70	18	51	11	0	0	2.209639344	1.497704918	2.707278689	4.90295082	0.53252219	0.453406959	0.890212511	0.556072183	3	3
Troncais	350	8	2	Troncais82	intra.sup	1	274	69	37	12	158	51	54	18	133	22	11	3	2	1	253	62	79	20	12	5	102	10	46	16	66	23	49	16	6	3	2.161788321	1.582226277	2.738357664	4.616058394	0.558390885	0.632428777	0.756713367	0.527457182	1	1
Troncais	350	8	3	Troncais83	intra.inf	1	287	77	23	8	157	63	73	20	185	32	12	7	4	1	255	64	56	22	24	7	136	18	44	17	50	21	42	15	4	4	2.292857143	1.683554007	2.877003484	3.990592334	0.590894755	0.656332504	0.696930067	0.438243977	3	3
Troncais	350	8	4	Troncais84	infra 	1	202	67	1	1	128	60	30	17	136	29	8	8	2	2	184	55	27	17	11	5	87	17	51	15	36	21	20	8	2	2	2.224455446	1.701732673	2.638663366	3.703465347	0.534055447	0.615426091	0.649610629	0.406993999	1	1
Troncais	368	9	1	Troncais91	supra 	0.862216604	212	57	9	6	175	46	47	14	112	20	15	3	1	1	190	51	56	19	14	5	92	12	50	16	28	11	29	12	3	2	2.234575472	1.572641509	2.677216981	4.59009434	0.488547428	0.612810382	0.75775411	0.499912156	2	2
Troncais	368	9	2	Troncais92	intra.sup	0.894842216	198	59	19	8	123	47	44	16	75	18	2	2	0	0	189	53	50	21	7	4	53	8	58	11	48	21	33	16	4	3	2.267676768	1.568939394	2.797272727	5.726767677	0.67205484	0.557013472	0.748039518	0.722862722	0	0
Troncais	368	9	3	Troncais93	intra.inf	0.560152025	118	55	14	7	81	44	22	11	62	22	8	4	4	2	106	48	22	10	7	4	34	11	32	13	28	16	17	11	2	2	2.294661017	1.520847458	2.771355932	5.555084746	0.662899904	0.573123119	0.777636598	0.701897059	0	0
Troncais	368	9	4	Troncais94	infra 	0.794968051	155	47	4	3	99	39	25	6	113	22	5	5	3	2	143	38	13	6	9	5	71	11	38	10	25	15	13	6	2	2	2.153806452	1.720774194	2.545354839	3.682258065	0.468570869	0.686467263	0.517632451	0.3874692	0	0
