Y;Effect;Groupe.var;pval (originale);pval ;Comparaison;Estimate;p-value;Significance;;
sr.flo;Stratum effect;Adult Guilds;P < 0,001;P < 0,001;UC_BC;8.728      ;< 0.001 ***;***;;
sr.flo;Stratum effect;Adult Guilds;P < 0,001;P < 0,001;LC_BC;3.301      ;0.0276 *;N.S;;
ab.pho;Stratum effect;Microhabitat Larvae Guilds;P < 0,01;N.S;AC_UC;-0.19193;0.43684   ;N.S;;
ab.pho;Stratum effect;Microhabitat Larvae Guilds;P < 0,01;N.S;AC_LC;-0.24649;0.21259   ;N.S;;
ab.pho;Stratum effect;Microhabitat Larvae Guilds;P < 0,01;N.S;AC_BC;-0.05455;0.26251   ;N.S;;
ab.pho;Stratum effect;Microhabitat Larvae Guilds;P < 0,01;N.S;UC_LC;0.25092    ;0.97175   ;N.S;;
ab.pho;Stratum effect;Microhabitat Larvae Guilds;P < 0,01;N.S;UC_BC;0.44285;0.00547 **;N.S;;
ab.pho;Stratum effect;Microhabitat Larvae Guilds;P < 0,01;N.S;LC_BC;0.49740    ;0.00130 **;N.S;;
sr.pho;Stratum effect;Microhabitat Larvae Guilds;P < 0,01;N.S;AC_UC;-0.4735;0.43354   ;N.S;;
sr.pho;Stratum effect;Microhabitat Larvae Guilds;P < 0,01;N.S;AC_LC;-0.9355;0.02148 *;N.S;;
sr.pho;Stratum effect;Microhabitat Larvae Guilds;P < 0,01;N.S;AC_BC;0.1100     ;0.98062   ;N.S;;
sr.pho;Stratum effect;Microhabitat Larvae Guilds;P < 0,01;N.S;UC_LC;-0.4619 ;0.52218   ;N.S;;
sr.pho;Stratum effect;Microhabitat Larvae Guilds;P < 0,01;N.S;UC_BC;0.5835     ;0.21351   ;N.S;;
sr.pho;Stratum effect;Microhabitat Larvae Guilds;P < 0,01;N.S;LC_BC;1.0455     ;0.00479 **;N.S;;
ab.myc;Stratum effect;Trophic Larvae Guilds;P < 0,01;N.S;AC_UC;0.09466    ;0.7412    ;N.S;;
ab.myc;Stratum effect;Trophic Larvae Guilds;P < 0,01;N.S;AC_LC;0.15946    ;0.3517    ;N.S;;
ab.myc;Stratum effect;Trophic Larvae Guilds;P < 0,01;N.S;AC_BC;0.38292    ;< 0.001 ***;N.S;;
ab.myc;Stratum effect;Trophic Larvae Guilds;P < 0,01;N.S;UC_LC;0.06481    ;0.9140    ;N.S;;
ab.myc;Stratum effect;Trophic Larvae Guilds;P < 0,01;N.S;UC_BC;0.28826    ;0.0257 *;N.S;;
ab.myc;Stratum effect;Trophic Larvae Guilds;P < 0,01;N.S;LC_BC;0.22346    ;0.1456    ;N.S;;
sr.myc;Stratum effect;Trophic Larvae Guilds;N.S;N.S;AC_UC;;;N.S;;
sr.myc;Stratum effect;Trophic Larvae Guilds;N.S;N.S;AC_LC;;;N.S;;
sr.myc;Stratum effect;Trophic Larvae Guilds;N.S;N.S;AC_BC;;;N.S;;
sr.myc;Stratum effect;Trophic Larvae Guilds;N.S;N.S;UC_LC;;;N.S;;
sr.myc;Stratum effect;Trophic Larvae Guilds;N.S;N.S;UC_BC;;;N.S;;
sr.myc;Stratum effect;Trophic Larvae Guilds;N.S;N.S;LC_BC;;;N.S;;
ab.xyl;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;AC_UC;0.009734   ;0.99981    ;N.S;;
ab.xyl;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;AC_LC;0.326711   ;0.03636 *;N.S;;
ab.xyl;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;AC_BC;0.478756   ;0.00196 **;**;;
ab.xyl;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;UC_LC;0.316977   ;0.03786 *;N.S;;
ab.xyl;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;UC_BC;0.469023   ;< 0.001 ***;***;;
ab.xyl;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;LC_BC;0.152045   ;0.61886    ;N.S;;
sr.xyl;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;AC_UC;1.6620     ;0.422    ;N.S;;
sr.xyl;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;AC_LC;6.8087     ;< 1e-04 ***;***;;
sr.xyl;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;AC_BC;6.9549     ;< 1e-04 ***;***;;
sr.xyl;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;UC_LC;5.1466     ;< 1e-04 ***;***;;
sr.xyl;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;UC_BC;5.2928     ;< 1e-04 ***;***;;
sr.xyl;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;LC_BC;0.1462     ;0.999    ;N.S;;
